Matricule,adresse,proprietaire,Valeur_terrain,Valeur_batiment,Valeur_immeuble,Description_cadastrale
1458-59-0083-0-000-0000,"66 avenue Voyer","Ville de Rimouski ",2300,254200,256500,3662731
1459-91-4259-0-000-0000,"94 rue Frédéric-Boucher","Ville de Rimouski ",1300,51400,52700,5013208
1558-19-4410-0-000-0000,"rue Lazare-Marceau","Ville de Rimouski ",31600,0,31600,4427583
1559-09-3598-0-000-0000,"149 rue de Sainte-Cécile-du-Bic, Rimouski","Ville de Rimouski ",71800,309100,380900,3662892
1559-20-2206-0-000-0000,"rue Lazare-Marceau, Rimouski","Ville de Rimouski ",9600,0,9600,4427578
1559-27-3398-0-000-0000,"avenue de Saint-Valérien, Rimouski","Ville de Rimouski ",17100,0,17100,"3663008, 5088422"
1559-39-1619-0-000-0000,"rue Gérard-Roussel","Ville de Rimouski ",400,0,400,5594704
1559-58-7099-0-000-0000,"126 rue du Mont-Saint-Louis","Ville de Rimouski ",162200,470400,632600,3663170
1559-77-2522-0-000-0000,"chemin de l'Ermite","Ville de Rimouski ",9800,5800,15600,3663189
1560-20-7369-0-000-0000,"rue J.-Romuald-Bérubé, Rimouski","Ville De Rimouski ",19200,0,19200,3663066
1560-20-8504-0-000-0000,"avenue de Saint-Valérien, Rimouski","Ville de Rimouski ",27300,0,27300,3663055
1560-31-6154-0-000-0000,"rue J.-Romuald-Bérubé, Rimouski","Ville De Rimouski ",19900,0,19900,3663114
1560-32-8122-0-000-0000,"50 route du Golf-du-Bic","Ville de Rimouski ",168300,546400,714700,3663115
1560-41-8974-0-000-0000,"rue J.-Romuald-Bérubé, Rimouski","Ville De Rimouski ",600,0,600,3663158
1560-42-7628-0-000-0000,"51 route du Golf-du-Bic, Rimouski","Ville de Rimouski ",38700,43900,82600,3663157
1560-55-2505-0-000-0000,"2790 route 132 Est","Ville de Rimouski ",88900,81100,170000,3664649
1560-63-4125-0-000-0000,"route 132 Est","Ville de Rimouski ",1100,0,1100,3664647
1560-76-2955-0-000-0000,"route 132 Est","Ville de Rimouski ",43500,0,43500,"3664545, 3664581"
1659-26-8375-0-000-0000,"120 - 128 rue Marie-Laure-Beaupré","Ville de Rimouski ",17400,128100,145500,3663771
1659-65-4825-0-000-0000,"chemin des Chénard","Ville de Rimouski ",200,0,200,3664642
1660-03-2253-0-000-0000,"79 rue de Sainte-Cécile-du-Bic","Ville de Rimouski ",71600,286500,358100,3663705
1660-83-1593-0-000-0000,"2645 - 2651 route 132 Est","Ville de Rimouski ",260600,1494600,1755200,"3664168, 3928992, 3664167"
1757-28-4318-0-000-0000,"avenue de Saint-Valérien, Rimouski","Ville de Rimouski ",600,0,600,3663237
1758-80-2843-0-000-0000,"chemin du 3e-Rang-du-Bic","Ville de Rimouski ",300,0,300,3928831
1762-30-7248-0-000-0000,"52 rue de la Rive, Rimouski","Ville de Rimouski ",25400,71700,97100,3664252
1762-42-9557-0-000-0000,"rue de la Rive, Rimouski","Ville de Rimouski ",7800,0,7800,"3663927, 3663928, 3663929"
1862-00-7227-0-000-0000,"rue de l'Étang, Rimouski","Ville de Rimouski ",1100,0,1100,3664268
1862-10-2265-0-000-0000,"rue de l'Étang, Rimouski","Ville de Rimouski ",400,0,400,3664262
1962-06-8165-0-000-0000,"route 132 Est, Rimouski","Ville de Rimouski ",100,0,100,3664432
1962-46-9760-0-000-0000,"rue Pascal-Lavoie, Rimouski","Ville de Rimouski ",19000,0,19000,3664254
1962-66-5888-0-000-0000,"rue Pascal-Lavoie, Rimouski","Ville de Rimouski ",27000,0,27000,3664788
1963-90-4419-0-000-0000,"rue Lionel-Côté, Rimouski","Ville de Rimouski ",22100,0,22100,3664476
1963-91-8737-0-000-0000,"rue des Jardiniers, Rimouski","Ville de Rimouski ",22300,0,22300,3664554
2164-13-6356-0-000-0000,"rue de la Plage, Rimouski","Ville de Rimouski ",14700,0,14700,"2894952, 2894881"
2265-72-8507-0-000-0000,"1051 boulevard Saint-Germain","Ville de Rimouski ",58500,233800,292300,3258438
2365-69-0528-0-000-0000,"rue de la Plage","Ville de Rimouski ",100,0,100,3258313
2365-94-2278-0-000-0000,"rue D'Youville","Ville de Rimouski ",164000,0,164000,"4660118, 5174909"
2365-94-6834-0-000-0000,"rue D'Youville","Ville de Rimouski ",151000,0,151000,5174895
2366-61-8200-0-000-0000,"rue de la Plage","Ville de Rimouski ",4500,0,4500,3258527
2366-71-1848-0-000-0000,"rue de la Plage","Ville de Rimouski ",31500,0,31500,3258025
2366-71-8887-0-000-0000,"rue de la Plage, Rimouski","Ville de Rimouski ",7500,0,7500,3258029
2366-82-0971-0-000-0000,"846 rue de la Plage","Ville de Rimouski ",16800,0,16800,3258017
2366-91-1360-0-000-0000,"rue du Rocher-Blanc","Ville de Rimouski ",50100,0,50100,3258015
2366-92-2690-0-000-0000,"rue de la Plage","Ville de Rimouski ",100,0,100,3355086
2366-96-6160-0-000-0000,"rue de la Plage","Ville de Rimouski ",1800,0,1800,2897717
